Academic Year,LSS Number,LSS Name,School Number,School Name,AP Subject Group,Students Tested,Number of Exams,Exams per Student,Mean Grade per Exam,Exams with Grades 3-5,% Exams with Grades 3-5,Create Date
2019,02,Anne Arundel,1323,North County High,All English,116,116,1,2.53,55,47.4,20200210
2019,02,Anne Arundel,1323,North County High,All History & Social Science,235,259,1.1,2.93,160,61.8,20200210
2019,02,Anne Arundel,1323,North County High,All Math & Computer Science,197,210,1.1,2.33,86,41,20200210
2019,02,Anne Arundel,1323,North County High,All Sciences,156,186,1.2,2.26,63,33.9,20200210
2019,02,Anne Arundel,1323,North County High,All World Languages & Cultures,29,29,1,2.93,19,65.5,20200210
2019,02,Anne Arundel,2013,Severna Park High,All Subjects,740,1494,2,3.52,1210,81,20200210
2019,02,Anne Arundel,2013,Severna Park High,All Arts,16,16,1,3.25,12,75,20200210
2019,02,Anne Arundel,2013,Severna Park High,All English,238,238,1,3.68,206,86.6,20200210
2019,02,Anne Arundel,2013,Severna Park High,All History & Social Science,490,579,1.2,3.39,437,75.5,20200210
2019,02,Anne Arundel,2013,Severna Park High,All Math & Computer Science,284,307,1.1,3.7,261,85,20200210
2019,02,Anne Arundel,2013,Severna Park High,All Sciences,221,295,1.3,3.45,238,80.7,20200210
2019,02,Anne Arundel,2013,Severna Park High,All World Languages & Cultures,58,59,1,3.64,56,94.9,20200210
2019,02,Anne Arundel,2023,Northeast High,All Subjects,316,565,1.8,2.53,266,47.1,20200210
2019,02,Anne Arundel,2023,Northeast High,All Arts,13,13,1,3.62,11,84.6,20200210
2019,02,Anne Arundel,2023,Northeast High,All English,157,157,1,2.41,60,38.2,20200210
2019,02,Anne Arundel,2023,Northeast High,All History & Social Science,232,289,1.2,2.55,145,50.2,20200210
2019,02,Anne Arundel,2023,Northeast High,All Math & Computer Science,52,55,1.1,2.36,21,38.2,20200210
2019,02,Anne Arundel,2023,Northeast High,All Sciences,40,41,1,2.68,24,58.5,20200210
2019,02,Anne Arundel,2023,Northeast High,All World Languages & Cultures,10,10,1,2.7,5,50,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All Subjects,319,527,1.7,2.69,291,55.2,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All Arts,12,12,1,3.67,11,91.7,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All English,139,142,1,2.61,71,50,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All History & Social Science,196,233,1.2,2.71,128,54.9,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All Math & Computer Science,80,83,1,2.8,54,65.1,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All Sciences,40,47,1.2,2.21,17,36.2,20200210
2019,02,Anne Arundel,2273,Chesapeake High,All World Languages & Cultures,10,10,1,3.7,*,>= 95.0,20200210
2019,02,Anne Arundel,2363,Broadneck High,All Subjects,704,1328,1.9,3.27,977,73.6,20200210
2019,02,Anne Arundel,2363,Broadneck High,All Arts,52,53,1,3.74,47,88.7,20200210
2019,02,Anne Arundel,2363,Broadneck High,All English,170,170,1,3.34,138,81.2,20200210
2019,02,Anne Arundel,2363,Broadneck High,All History & Social Science,472,579,1.2,3.39,447,77.2,20200210
2019,02,Anne Arundel,2363,Broadneck High,All Math & Computer Science,252,268,1.1,3.11,176,65.7,20200210
2019,02,Anne Arundel,2363,Broadneck High,All Sciences,213,230,1.1,3.02,150,65.2,20200210
2019,02,Anne Arundel,2363,Broadneck High,All World Languages & Cultures,28,28,1,3,19,67.9,20200210
2019,02,Anne Arundel,3013,Arundel High,All Subjects,594,1110,1.9,3.17,768,69.2,20200210
2019,02,Anne Arundel,3013,Arundel High,All Arts,36,36,1,3.64,32,88.9,20200210
2019,02,Anne Arundel,3013,Arundel High,All English,207,207,1,3.18,146,70.5,20200210
2019,02,Anne Arundel,3013,Arundel High,All History & Social Science,384,446,1.2,3.18,303,67.9,20200210
2019,02,Anne Arundel,3013,Arundel High,All Math & Computer Science,215,242,1.1,3.28,181,74.8,20200210
2019,02,Anne Arundel,3013,Arundel High,All Sciences,139,164,1.2,2.85,95,57.9,20200210
2019,02,Anne Arundel,3013,Arundel High,All World Languages & Cultures,15,15,1,3.2,11,73.3,20200210
2019,02,Anne Arundel,3323,Meade High,All Subjects,271,395,1.5,2.04,113,28.6,20200210
2019,02,Anne Arundel,3323,Meade High,All Arts,17,20,1.2,2.65,11,55,20200210
2019,02,Anne Arundel,3323,Meade High,All English,75,75,1,2.27,26,34.7,20200210
2019,02,Anne Arundel,3323,Meade High,All History & Social Science,158,186,1.2,1.97,47,25.3,20200210
2019,02,Anne Arundel,3323,Meade High,All Math & Computer Science,29,29,1,1.41,3,10.3,20200210
2019,02,Anne Arundel,3323,Meade High,All Sciences,57,60,1.1,1.3,*,<= 5.0,20200210
2019,02,Anne Arundel,3323,Meade High,All World Languages & Cultures,25,25,1,3.88,23,92,20200210
2019,02,Anne Arundel,3353,Old Mill High,All Subjects,414,596,1.4,2.58,281,47.1,20200210
2019,02,Anne Arundel,3353,Old Mill High,All Arts,26,28,1.1,3.46,24,85.7,20200210
2019,02,Anne Arundel,3353,Old Mill High,All English,136,137,1,2.07,35,25.5,20200210
2019,02,Anne Arundel,3353,Old Mill High,All History & Social Science,221,239,1.1,2.63,125,52.3,20200210
2019,02,Anne Arundel,3353,Old Mill High,All Math & Computer Science,81,82,1,2.87,49,59.8,20200210
2019,02,Anne Arundel,3353,Old Mill High,All Sciences,72,74,1,2.15,19,25.7,20200210
2019,02,Anne Arundel,3353,Old Mill High,All World Languages & Cultures,36,36,1,3.75,29,80.6,20200210
2019,02,Anne Arundel,4013,Annapolis High,All Subjects,479,761,1.6,2.78,435,57.2,20200210
2019,02,Anne Arundel,4013,Annapolis High,All Arts,26,26,1,3.12,18,69.2,20200210
2019,02,Anne Arundel,4013,Annapolis High,All English,117,117,1,2.45,51,43.6,20200210
2019,02,Anne Arundel,4013,Annapolis High,All History & Social Science,332,394,1.2,2.93,247,62.7,20200210
2019,02,Anne Arundel,4013,Annapolis High,All Math & Computer Science,97,100,1,2.26,32,32,20200210
2019,02,Anne Arundel,4013,Annapolis High,All Sciences,86,86,1,2.71,50,58.1,20200210
2019,02,Anne Arundel,4013,Annapolis High,All World Languages & Cultures,38,38,1,3.53,*,>= 95.0,20200210
2019,02,Anne Arundel,4023,Southern High,All Subjects,277,504,1.8,2.88,323,64.1,20200210
2019,02,Anne Arundel,4023,Southern High,All Arts,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,4023,Southern High,All English,88,88,1,2.74,53,60.2,20200210
2019,02,Anne Arundel,4023,Southern High,All History & Social Science,198,258,1.3,2.94,170,65.9,20200210
2019,02,Anne Arundel,4023,Southern High,All Math & Computer Science,87,94,1.1,3.1,71,75.5,20200210
2019,02,Anne Arundel,4023,Southern High,All Sciences,46,48,1,2.31,16,33.3,20200210
2019,02,Anne Arundel,4023,Southern High,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,4074,Phoenix Academy,All Subjects,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,4074,Phoenix Academy,All History & Social Science,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,4293,South River High,All Subjects,952,2191,2.3,3.17,1543,70.4,20200210
2019,02,Anne Arundel,4293,South River High,All AP Capstone,67,67,1,3.81,*,>= 95.0,20200210
2019,02,Anne Arundel,4293,South River High,All Arts,33,33,1,3.64,26,78.8,20200210
2019,02,Anne Arundel,4293,South River High,All English,469,469,1,2.98,300,64,20200210
2019,02,Anne Arundel,4293,South River High,All History & Social Science,559,611,1.1,3.29,449,73.5,20200210
2019,02,Anne Arundel,4293,South River High,All Math & Computer Science,520,574,1.1,3.26,425,74,20200210
2019,02,Anne Arundel,4293,South River High,All Sciences,372,403,1.1,2.93,250,62,20200210
2019,02,Anne Arundel,4293,South River High,All World Languages & Cultures,34,34,1,3.32,28,82.4,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,All Subjects,83,130,1.6,3.24,99,76.2,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,All English,22,22,1,3.32,18,81.8,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,All History & Social Science,61,61,1,3.26,46,75.4,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,All Math & Computer Science,39,39,1,3.03,27,69.2,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,All Sciences,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,6223,Chesapeake Science Point,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All Subjects,5919,10875,1.8,2.98,6864,63.1,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All AP Capstone,67,67,1,3.81,*,>= 95.0,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All Arts,255,262,1,3.45,210,80.2,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All English,2091,2095,1,2.85,1220,58.2,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All History & Social Science,3692,4296,1.2,3.02,2771,64.5,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All Math & Computer Science,1997,2149,1.1,3.04,1403,65.3,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All Sciences,1512,1705,1.1,2.77,942,55.2,20200210
2019,02,Anne Arundel,A,All Anne Arundel Schools,All World Languages & Cultures,300,301,1,3.44,253,84.1,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All Subjects,139,186,1.3,1.53,22,11.8,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All Arts,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All English,25,25,1,1.96,5,20,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All History & Social Science,115,121,1.1,1.44,13,10.7,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All Math & Computer Science,23,27,1.2,1.37,*,<= 5.0,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All Sciences,10,10,1,1.3,*,<= 5.0,20200210
2019,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,All World Languages & Cultures,*,*,*,*,*,*,20200210
2019,03,Baltimore County,0174,Catonsville High,All Subjects,337,722,2.1,3.26,508,70.4,20200210
2019,03,Baltimore County,0174,Catonsville High,All Arts,22,23,1,3.35,19,82.6,20200210
2019,03,Baltimore County,0174,Catonsville High,All English,108,108,1,3.64,87,80.6,20200210
2019,03,Baltimore County,0174,Catonsville High,All History & Social Science,259,330,1.3,3.28,232,70.3,20200210
2019,03,Baltimore County,0174,Catonsville High,All Math & Computer Science,123,132,1.1,3.19,92,69.7,20200210
2019,03,Baltimore County,0174,Catonsville High,All Sciences,77,80,1,3.2,57,71.3,20200210
2019,03,Baltimore County,0174,Catonsville High,All World Languages & Cultures,49,49,1,2.55,21,42.9,20200210
